Saņēmējs,Ziedojuma veids,Vērtība,Deputāts,Frakcija,Datums
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 30.00,Ainars Latkovskis,Frakcija JAUNĀ VIENOTĪBA,30/01/2023
"VIENOTĪBA, Partija",Nauda,EUR 25.00,Irma Kalniņa,Frakcija JAUNĀ VIENOTĪBA,25/01/2023
PROGRESĪVIE,Nauda,EUR 300.00,Skaidrīte Ābrama,Frakcija PROGRESĪVIE,22/01/2023
PROGRESĪVIE,Nauda,EUR 1000.00,Jana Simanovska,Frakcija PROGRESĪVIE,11/01/2023
"Kustība ""Par!""",Nauda,EUR 200.00,Mārtiņš Daģis,Frakcija JAUNĀ VIENOTĪBA,10/01/2023
PROGRESĪVIE,Biedra nauda,EUR 500.00,Antoņina Ņenaševa,Frakcija PROGRESĪVIE,05/01/2023
PROGRESĪVIE,Nauda,EUR 1500.00,Antoņina Ņenaševa,Frakcija PROGRESĪVIE,05/01/2023
PROGRESĪVIE,Nauda,EUR 770.00,Edmunds Cepurītis,Frakcija PROGRESĪVIE,31/12/2022
"VIENOTĪBA, Partija",Nauda,EUR 25.00,Irma Kalniņa,Frakcija JAUNĀ VIENOTĪBA,25/12/2022
PROGRESĪVIE,Nauda,EUR 400.00,Antoņina Ņenaševa,Frakcija PROGRESĪVIE,22/12/2022
PROGRESĪVIE,Nauda,EUR 1000.00,Edmunds Cepurītis,Frakcija PROGRESĪVIE,21/12/2022
"VIENOTĪBA, Partija",Nauda,EUR 100.00,Agita Zariņa-Stūre,Frakcija JAUNĀ VIENOTĪBA,21/12/2022
PROGRESĪVIE,Nauda,EUR 500.00,Andris Šuvajevs,Frakcija PROGRESĪVIE,20/12/2022
"Stabilitātei!, Politiskā partija",Biedra nauda,EUR 150.00,Viktorija Pleškāne,Frakcija “Stabilitātei!”,09/12/2022
"Stabilitātei!, Politiskā partija",Biedra nauda,EUR 50.00,Igors Judins,Frakcija “Stabilitātei!”,08/12/2022
"Kustība ""Par!""",Nauda,EUR 50.00,Mārtiņš Daģis,Frakcija JAUNĀ VIENOTĪBA,01/12/2022
"Kustība ""Par!""",Nauda,EUR 200.00,Mārtiņš Daģis,Frakcija JAUNĀ VIENOTĪBA,01/12/2022
PROGRESĪVIE,Nauda,EUR 1000.00,Leila Rasima,Frakcija PROGRESĪVIE,01/12/2022
"VIENOTĪBA, Partija",Nauda,EUR 25.00,Irma Kalniņa,Frakcija JAUNĀ VIENOTĪBA,25/11/2022
"Stabilitātei!, Politiskā partija",Biedra nauda,EUR 400.00,Igors Judins,Frakcija “Stabilitātei!”,22/11/2022
"Stabilitātei!, Politiskā partija",Biedra nauda,EUR 400.00,Viktorija Pleškāne,Frakcija “Stabilitātei!”,22/11/2022
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda,EUR 250.00,Edmunds Teirumnieks,Frakcija “Nacionālā apvienība”,16/11/2022
PROGRESĪVIE,Nauda,EUR 1000.00,Jana Simanovska,Frakcija PROGRESĪVIE,15/11/2022
PROGRESĪVIE,Nauda,EUR 500.00,Skaidrīte Ābrama,Frakcija PROGRESĪVIE,12/11/2022
PROGRESĪVIE,Nauda,EUR 150.00,Leila Rasima,Frakcija PROGRESĪVIE,03/11/2022
PROGRESĪVIE,Nauda,EUR 1000.00,Edmunds Cepurītis,Frakcija PROGRESĪVIE,02/11/2022
