Partija,Veids,Vērtība,Deputāts,Frakcija,Datums
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  200.00 ,"Šņore, Edvīns",Nacionāla Apvienība VL-TB/LNNK,13/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  5.00 ,"Dombrava, Jānis",Nacionāla Apvienība VL-TB/LNNK,12/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda," €  2,000.00 ","Dzintars, Raivis",Nacionāla Apvienība VL-TB/LNNK,12/9/2018
Jaunā konservatīvā partija,Manta vai pakalpojums, €  702.67 ,"Eglītis, Gatis",Jauno Konservatīvo frakcija,12/9/2018
Attīstībai/Par!,Nauda, €  20.00 ,"Zamurs, Gatis",Attīstībai/Par!,12/09/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  11.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,12/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  10.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,12/9/2018
"VIENOTĪBA, Partija",Nauda, €  100.00 ,"Kalniņš, Ojārs Ēriks",Jaunā Vienotība,12/9/2018
Kustība Par!,Nauda, €  70.00 ,"Tērauda, Vita Anda",Attīstībai/Par!,12/9/2018
"KPV LV, Politiskā partija",Nauda, €  30.00 ,"Kronbergs, Edgars ",KPV LV,11/09/2018
Attīstībai/Par!,Manta vai pakalpojums, €  38.66 ,"Golubeva, Marija",Attīstībai/Par!,11/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  10.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,11/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  7.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,11/9/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  310.00 ,"Orlovs, Vitālijs",Saskaņa,11/9/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  500.00 ,"Papule, Evija",Pie frakcijām nepiederošie deputāti,11/9/2018
Jaunā konservatīvā partija,Nauda, €  420.00 ,"Riekstiņš, Sandis",Jauno Konservatīvo frakcija,11/9/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  2,000.00 ","Zariņš, Ivars",Saskaņa,11/9/2018
LATGALES PARTIJA,Nauda, €  300.00 ,"Adamovičs, Aldis",Jaunā Vienotība,10/9/2018
Jaunā konservatīvā partija,Nauda, €  50.00 ,"Butāns, Jānis",Jauno Konservatīvo frakcija,10/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  14.00 ,"Dombrava, Jānis",Nacionāla Apvienība VL-TB/LNNK,10/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  12.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,10/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  5.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,10/9/2018
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda, €  500.00 ,"Lejiņš, Atis",Jaunā Vienotība,10/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda," €  1,000.00 ","Naudiņš, Romāns",Nacionāla Apvienība VL-TB/LNNK,10/9/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Orlovs, Vitālijs",Saskaņa,10/9/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Papule, Evija",Pie frakcijām nepiederošie deputāti,10/9/2018
"KPV LV, Politiskā partija",Nauda, €  20.00 ,"Kronbergs, Edgars ",KPV LV,09/09/2018
Zaļo un Zemnieku savienība,Nauda," €  1,000.00 ","Daudze, Gundars",Zaļo un Zemnieku Savienība,8/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda," €  1,500.00 ","Dombrava, Jānis",Nacionāla Apvienība VL-TB/LNNK,7/9/2018
Attīstībai/Par!,Manta vai pakalpojums, €  50.00 ,"Zamurs, Gatis",Attīstībai/Par!,07/09/2018
"KPV LV, Politiskā partija",Nauda, €  500.00 ,"Sprūde, Karina",Pie frakcijām nepiederošie deputāti,7/9/2018
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Zālīte-Grosa, Evita",Jauno Konservatīvo frakcija,7/9/2018
"KPV LV, Politiskā partija",Nauda, €  500.00 ,"Benhena-Bēkena, Iveta",KPV LV,6/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  87.00 ,"Dzintars, Raivis",Nacionāla Apvienība VL-TB/LNNK,6/9/2018
Kustība Par!,Nauda, €  70.00 ,"Golubeva, Marija",Attīstībai/Par!,6/9/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  500.00 ,"Ločmele-Luņova, Regīna",Saskaņa,6/9/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Ločmele-Luņova, Regīna",Saskaņa,6/9/2018
Zaļo un Zemnieku savienība,Nauda," €  3,000.00 ","Dūklavs, Jānis",Zaļo un Zemnieku Savienība,4/9/2018
Attīstībai/Par!,Manta vai pakalpojums, €  50.00 ,"Zamurs, Gatis",Attīstībai/Par!,04/09/2018
Attīstībai/Par!,Manta vai pakalpojums, €  13.42 ,"Ikstena, Inese",Attīstībai/Par!,4/9/2018
"KPV LV, Politiskā partija",Nauda, €  300.00 ,"Kursīte, Janīna",KPV LV,4/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda," €  1,000.00 ","Mūrniece, Ināra",Nacionāla Apvienība VL-TB/LNNK,4/9/2018
"KPV LV, Politiskā partija",Nauda," €  1,000.00 ","Sprūde, Karina",Pie frakcijām nepiederošie deputāti,4/9/2018
Jaunā konservatīvā partija,Nauda, €  200.00 ,"Beitnere-Le Galla, Dagmāra",Jauno Konservatīvo frakcija,3/9/2018
Attīstībai/Par!,Manta vai pakalpojums, €  126.52 ,"Zamurs, Gatis",Attīstībai/Par!,02/09/2018
"VIENOTĪBA, Partija",Nauda, €  400.00 ,"Adamovičs, Aldis",Jaunā Vienotība,31/8/2018
"KPV LV, Politiskā partija",Manta vai pakalpojums, €  19.54 ,"Blumbergs, Aldis",Pie frakcijām nepiederošie deputāti,31/8/2018
Zaļo un Zemnieku savienība,Manta vai pakalpojums, €  167.26 ,"Tavars, Edgars",Zaļo un Zemnieku Savienība,31/08/2018
Attīstībai/Par!,Manta vai pakalpojums, €  48.40 ,"Golubeva, Marija",Attīstībai/Par!,31/8/2018
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Rancāns, Juris",Jauno Konservatīvo frakcija,31/8/2018
Jaunā konservatīvā partija,Nauda," €  1,000.00 ","Riekstiņš, Sandis",Jauno Konservatīvo frakcija,31/8/2018
Latvijas Zaļā partija,Nauda, €  350.00 ,"Tavars, Edgars",Zaļo un Zemnieku Savienība,30/08/2018
Latvijas attīstībai,Biedra nauda," €  2,000.00 ","Ikstena, Inese",Attīstībai/Par!,30/8/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  500.00 ,"Indriksone, Ilze",Nacionāla Apvienība VL-TB/LNNK,30/8/2018
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda, €  260.00 ,"Latkovskis, Ainars",Jaunā Vienotība,30/8/2018
Jaunā konservatīvā partija,Nauda," €  1,500.00 ","Medne, Linda",Jauno Konservatīvo frakcija,30/8/2018
Jaunā konservatīvā partija,Nauda, €  60.00 ,"Medne, Linda",Jauno Konservatīvo frakcija,30/8/2018
Attīstībai/Par!,Nauda, €  10.00 ,"Pūce, Juris",Attīstībai/Par!,30/8/2018
Jaunā konservatīvā partija,Nauda, €  40.00 ,"Butāns, Jānis",Jauno Konservatīvo frakcija,29/8/2018
"KPV LV, Politiskā partija",Nauda, €  730.00 ,"Kursīte, Janīna",KPV LV,29/8/2018
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda, €  185.00 ,"Latkovskis, Ainars",Jaunā Vienotība,29/8/2018
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda, €  250.00 ,"Lībiņa-Egnere, Inese",Jaunā Vienotība,29/8/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  500.00 ,"Nikonovs, Vladimirs",Saskaņa,29/8/2018
Jaunā konservatīvā partija,Nauda, €  350.00 ,"Butāns, Jānis",Jauno Konservatīvo frakcija,28/8/2018
Attīstībai/Par!,Manta vai pakalpojums, €  50.00 ,"Zamurs, Gatis",Attīstībai/Par!,28/08/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  290.00 ,"Stepaņenko, Jūlija",Pie frakcijām nepiederošie deputāti,28/8/2018
Attīstībai/Par!,Nauda, €  22.00 ,"Golubeva, Marija",Attīstībai/Par!,27/8/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Orlovs, Vitālijs",Saskaņa,27/8/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  250.00 ,"Rubiks, Artūrs",Saskaņa,27/8/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  10.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,26/8/2018
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Zālīte-Grosa, Evita",Jauno Konservatīvo frakcija,26/8/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  20.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,24/8/2018
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Jurašs, Juris",Jauno Konservatīvo frakcija,24/8/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  340.00 ,"Klementjevs, Ivans",Saskaņa,24/8/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  19.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,23/8/2018
"KPV LV, Politiskā partija",Nauda, €  52.00 ,"Kronbergs, Edgars ",KPV LV,22/08/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  100.00 ,"Kabanovs, Nikolajs",Saskaņa,22/8/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  125.00 ,"Švecova, Ļubova",Pie frakcijām nepiederošie deputāti,22/8/2018
Attīstībai/Par!,Nauda, €  24.00 ,"Tērauda, Vita Anda",Attīstībai/Par!,22/8/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  200.00 ,"Cilevičs, Boriss",Saskaņa,21/8/2018
Attīstībai/Par!,Manta vai pakalpojums, €  50.00 ,"Zamurs, Gatis",Attīstībai/Par!,21/08/2018
Attīstībai/Par!,Nauda, €  191.30 ,"Ikstena, Inese",Attīstībai/Par!,21/8/2018
Attīstībai/Par!,Manta vai pakalpojums, €  22.89 ,"Ikstena, Inese",Attīstībai/Par!,21/8/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  270.00 ,"Ločmele-Luņova, Regīna",Saskaņa,21/8/2018
"KPV LV, Politiskā partija",Nauda, €  26.00 ,"Pucens, Ēriks",KPV LV,21/8/2018
Jaunā konservatīvā partija,Nauda, €  15.00 ,"Beitnere-Le Galla, Dagmāra",Jauno Konservatīvo frakcija,20/8/2018
Jaunā konservatīvā partija,Nauda, €  25.00 ,"Butāns, Jānis",Jauno Konservatīvo frakcija,20/8/2018
Attīstībai/Par!,Manta vai pakalpojums, €  24.20 ,"Golubeva, Marija",Attīstībai/Par!,20/8/2018
Zaļo un Zemnieku savienība,Nauda," €  3,000.00 ","Kučinskis, Māris",Zaļo un Zemnieku Savienība,20/8/2018
"VIENOTĪBA, Partija",Nauda," €  3,000.00 ","Ašeradens, Arvils",Jaunā Vienotība,17/8/2018
"KPV LV, Politiskā partija",Nauda, €  200.00 ,"Ģirģens, Kaspars",KPV LV,17/8/2018
Attīstībai/Par!,Nauda, €  23.00 ,"Golubeva, Marija",Attīstībai/Par!,17/8/2018
Attīstībai/Par!,Nauda, €  100.00 ,"Voika, Inese",Attīstībai/Par!,17/8/2018
Attīstībai/Par!,Nauda, €  30.00 ,"Znotiņš, Reinis",Jauno Konservatīvo frakcija,17/8/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  67.00 ,"Dzintars, Raivis",Nacionāla Apvienība VL-TB/LNNK,16/8/2018
"KPV LV, Politiskā partija",Nauda, €  50.00 ,"Geidāns, Aivars",KPV LV,16/8/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  20.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,16/8/2018
Zaļo un Zemnieku savienība,Nauda," €  3,000.00 ","Augulis, Uldis",Zaļo un Zemnieku Savienība,15/8/2018
"KPV LV, Politiskā partija",Nauda, €  50.00 ,"Kronbergs, Edgars ",KPV LV,15/08/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  5.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,15/8/2018
"KPV LV, Politiskā partija",Nauda, €  50.00 ,"Možvillo, Māris",KPV LV,15/8/2018
Attīstībai/Par!,Nauda, €  49.61 ,"Rukšāne-Ščipčinska, Dace",Attīstībai/Par!,15/8/2018
"KPV LV, Politiskā partija",Nauda, €  50.00 ,"Ģirģens, Kaspars",KPV LV,14/8/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Klementjevs, Andrejs",Saskaņa,14/8/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  850.00 ,"Orlovs, Vitālijs",Saskaņa,14/8/2018
Latvijas attīstībai,Biedra nauda, €  250.00 ,"Pūce, Juris",Attīstībai/Par!,14/8/2018
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Rancāns, Juris",Jauno Konservatīvo frakcija,14/8/2018
Jaunā konservatīvā partija,Nauda, €  300.00 ,"Riekstiņš, Sandis",Jauno Konservatīvo frakcija,14/8/2018
"KPV LV, Politiskā partija",Nauda, €  50.00 ,"Šmits, Didzis",Pie frakcijām nepiederošie deputāti,14/8/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda," €  1,000.00 ","Jansons, Ritvars",Nacionāla Apvienība VL-TB/LNNK,13/8/2018
Jaunā konservatīvā partija,Nauda, €  50.00 ,"Jurašs, Juris",Jauno Konservatīvo frakcija,13/8/2018
Zaļo un Zemnieku savienība,Nauda," €  1,001.00 ","Krauze, Armands",Zaļo un Zemnieku Savienība,13/8/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  44.00 ,"Dzintars, Raivis",Nacionāla Apvienība VL-TB/LNNK,12/8/2018
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Zālīte-Grosa, Evita",Jauno Konservatīvo frakcija,12/8/2018
"KPV LV, Politiskā partija",Nauda, €  50.00 ,"Blumbergs, Aldis",Pie frakcijām nepiederošie deputāti,10/8/2018
Jaunā konservatīvā partija,Nauda, €  25.00 ,"Cielēns, Jānis",Jauno Konservatīvo frakcija,10/8/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  65.00 ,"Dzintars, Raivis",Nacionāla Apvienība VL-TB/LNNK,10/8/2018
Zaļo un Zemnieku savienība,Manta vai pakalpojums, €  170.00 ,"Tavars, Edgars",Zaļo un Zemnieku Savienība,10/08/2018
Attīstībai/Par!,Nauda, €  65.34 ,"Ikstena, Inese",Attīstībai/Par!,10/8/2018
"KPV LV, Politiskā partija",Nauda, €  50.00 ,"Kursīte, Janīna",KPV LV,10/8/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda," €  1,250.00 ","Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,9/8/2018
"KPV LV, Politiskā partija",Nauda, €  38.72 ,"Sprūde, Karina",Pie frakcijām nepiederošie deputāti,9/8/2018
Jaunā konservatīvā partija,Nauda, €  25.00 ,"Butāns, Jānis",Jauno Konservatīvo frakcija,8/8/2018
"KPV LV, Politiskā partija",Nauda, €  50.00 ,"Sprūde, Karina",Pie frakcijām nepiederošie deputāti,8/8/2018
"KPV LV, Politiskā partija",Manta vai pakalpojums, €  12.84 ,"Ģirģens, Kaspars",KPV LV,7/8/2018
"KPV LV, Politiskā partija",Biedra nauda," €  1,000.00 ","Benhena-Bēkena, Iveta",KPV LV,6/8/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,500.00 ","Dombrovskis, Vjačeslavs",Pie frakcijām nepiederošie deputāti,6/8/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  87.00 ,"Dzintars, Raivis",Nacionāla Apvienība VL-TB/LNNK,6/8/2018
Jaunā konservatīvā partija,Nauda, €  50.00 ,"Mārtuža, Eva",Jauno Konservatīvo frakcija,3/8/2018
Jaunā konservatīvā partija,Nauda, €  35.00 ,"Butāns, Jānis",Jauno Konservatīvo frakcija,2/8/2018
Attīstībai/Par!,Manta vai pakalpojums, €  25.44 ,"Zamurs, Gatis",Attīstībai/Par!,02/08/2018
Attīstībai/Par!,Manta vai pakalpojums, €  50.00 ,"Zamurs, Gatis",Attīstībai/Par!,02/08/2018
Jaunā konservatīvā partija,Nauda," €  1,000.00 ","Jurašs, Juris",Jauno Konservatīvo frakcija,2/8/2018
"VIENOTĪBA, Partija",Nauda, €  500.00 ,"Adamovičs, Aldis",Jaunā Vienotība,1/8/2018
Jaunā konservatīvā partija,Nauda," €  1,000.00 ","Feldmans, Krišjānis",Jauno Konservatīvo frakcija,1/8/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  5.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,31/7/2018
Latvijas attīstībai,Biedra nauda, €  900.00 ,"Pūce, Juris",Attīstībai/Par!,31/7/2018
Latvijas attīstībai,Biedra nauda, €  600.00 ,"Pūce, Juris",Attīstībai/Par!,31/7/2018
Kustība Par!,Nauda, €  27.00 ,"Golubeva, Marija",Attīstībai/Par!,30/7/2018
Jaunā konservatīvā partija,Nauda, €  45.00 ,"Jurašs, Juris",Jauno Konservatīvo frakcija,30/7/2018
Jaunā konservatīvā partija,Nauda, €  130.00 ,"Muižniece, Anita",Jauno Konservatīvo frakcija,30/7/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  5.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,27/7/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  74.00 ,"Dzintars, Raivis",Nacionāla Apvienība VL-TB/LNNK,26/7/2018
Jaunā konservatīvā partija,Nauda, €  15.00 ,"Kazinovskis, Andris",Pie frakcijām nepiederošie deputāti,26/7/2018
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Cielēns, Jānis",Jauno Konservatīvo frakcija,25/7/2018
Jaunā konservatīvā partija,Nauda," €  1,000.00 ","Feldmans, Krišjānis",Jauno Konservatīvo frakcija,25/7/2018
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Medne, Linda",Jauno Konservatīvo frakcija,25/7/2018
Attīstībai/Par!,Manta vai pakalpojums, €  43.94 ,"Zamurs, Gatis",Attīstībai/Par!,24/07/2018
Jaunā konservatīvā partija,Nauda, €  10.00 ,"Rancāns, Juris",Jauno Konservatīvo frakcija,24/7/2018
Jaunā konservatīvā partija,Nauda, €  175.00 ,"Eglītis, Gatis",Jauno Konservatīvo frakcija,23/7/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  20.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,23/7/2018
Jaunā konservatīvā partija,Nauda, €  30.00 ,"Žunna, Normunds",Jauno Konservatīvo frakcija,23/7/2018
Jaunā konservatīvā partija,Nauda, €  20.00 ,"Zālīte-Grosa, Evita",Jauno Konservatīvo frakcija,22/7/2018
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Zālīte-Grosa, Evita",Jauno Konservatīvo frakcija,22/7/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  86.00 ,"Dzintars, Raivis",Nacionāla Apvienība VL-TB/LNNK,20/7/2018
"KPV LV, Politiskā partija",Manta vai pakalpojums, €  191.28 ,"Geidāns, Aivars",KPV LV,20/7/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda," €  2,000.00 ","Kiršteins, Aleksandrs",Nacionāla Apvienība VL-TB/LNNK,20/7/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  5.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,20/7/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  10.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,20/7/2018
Attīstībai/Par!,Manta vai pakalpojums, €  50.00 ,"Zamurs, Gatis",Attīstībai/Par!,19/07/2018
Jaunā konservatīvā partija,Nauda, €  30.00 ,"Riekstiņš, Sandis",Jauno Konservatīvo frakcija,19/7/2018
"KPV LV, Politiskā partija",Nauda, €  80.00 ,"Sprūde, Karina",Pie frakcijām nepiederošie deputāti,19/7/2018
Zaļo un Zemnieku savienība,Nauda," €  1,500.00 ","Vucāns, Jānis",Zaļo un Zemnieku Savienība,19/7/2018
Zaļo un Zemnieku savienība,Nauda," €  1,500.00 ","Daudze, Gundars",Zaļo un Zemnieku Savienība,18/7/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  700.00 ,"Tutins, Jānis",Saskaņa,18/7/2018
Zaļo un Zemnieku savienība,Nauda," €  1,500.00 ","Daudze, Gundars",Zaļo un Zemnieku Savienība,17/7/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  10.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,17/7/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  3.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,17/7/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  15.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,17/7/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  500.00 ,"Kucins, Edgars",Saskaņa,17/7/2018
Jaunā konservatīvā partija,Manta vai pakalpojums, €  6.03 ,"Muižniece, Anita",Jauno Konservatīvo frakcija,17/7/2018
Zaļo un Zemnieku savienība,Nauda," €  1,500.00 ","Vucāns, Jānis",Zaļo un Zemnieku Savienība,17/7/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  86.00 ,"Dzintars, Raivis",Nacionāla Apvienība VL-TB/LNNK,16/7/2018
Jaunā konservatīvā partija,Nauda, €  75.00 ,"Eglītis, Gatis",Jauno Konservatīvo frakcija,16/7/2018
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Medne, Linda",Jauno Konservatīvo frakcija,16/7/2018
Jaunā konservatīvā partija,Nauda, €  80.00 ,"Riekstiņš, Sandis",Jauno Konservatīvo frakcija,16/7/2018
Jaunā konservatīvā partija,Nauda, €  90.00 ,"Riekstiņš, Sandis",Jauno Konservatīvo frakcija,16/7/2018
Jaunā konservatīvā partija,Nauda, €  45.00 ,"Znotiņš, Reinis",Jauno Konservatīvo frakcija,16/7/2018
Jaunā konservatīvā partija,Nauda, €  10.00 ,"Cielēns, Jānis",Jauno Konservatīvo frakcija,13/7/2018
Attīstībai/Par!,Manta vai pakalpojums, €  50.00 ,"Zamurs, Gatis",Attīstībai/Par!,13/07/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  700.00 ,"Goldberga, Inga",Saskaņa,13/7/2018
Attīstībai/Par!,Nauda, €  500.00 ,"Skride, Andris",Attīstībai/Par!,13/7/2018
"KPV LV, Politiskā partija",Manta vai pakalpojums, €  5.91 ,"Ģirģens, Kaspars",KPV LV,12/7/2018
Jaunā konservatīvā partija,Nauda, €  20.00 ,"Muižniece, Anita",Jauno Konservatīvo frakcija,12/7/2018
Jaunā konservatīvā partija,Nauda, €  80.00 ,"Rancāns, Juris",Jauno Konservatīvo frakcija,12/7/2018
"KPV LV, Politiskā partija",Manta vai pakalpojums, €  21.34 ,"Geidāns, Aivars",KPV LV,11/7/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  700.00 ,"Krišāns, Jānis",Saskaņa,11/7/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  700.00 ,"Nikonovs, Vladimirs",Saskaņa,11/7/2018
Jaunā konservatīvā partija,Nauda, €  210.00 ,"Rancāns, Juris",Jauno Konservatīvo frakcija,11/7/2018
"KPV LV, Politiskā partija",Manta vai pakalpojums, €  3.00 ,"Nemiro, Ralfs",KPV LV,10/7/2018
Jaunā konservatīvā partija,Nauda, €  25.00 ,"Rancāns, Juris",Jauno Konservatīvo frakcija,10/7/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  520.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,8/7/2018
Jaunā konservatīvā partija,Nauda, €  20.00 ,"Budriķis, Uldis",Jauno Konservatīvo frakcija,7/7/2018
